Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Button Pressed,Correct Button,Cue Displayed,Late Response,Response Time,Response Window,Stimulus Color,Stimulus Shape,TaskSwitch State
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,10,119.303352,83.84504,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,367,723,Orange,Moon,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,11,118.946686,82.870224,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,450,753,Purple,Sun,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,12,118.8093,74.0909042,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,0,Shape,0,383,673,Orange,Moon,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,13,119.085381,87.02287,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,1,783,713,Orange,Moon,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,14,119.463509,79.0390244,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,733,753,Orange,Sun,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,15,119.53965,85.91758,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,467,743,Orange,Moon,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,16,120.387337,84.61699,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,467,713,Purple,Moon,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,17,119.707108,98.61725,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,567,703,Orange,Sun,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,18,119.784042,66.87846,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,450,723,Purple,Sun,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,19,120.852295,90.71419,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,0,Shape,0,550,683,Purple,Sun,2
