Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,5,116.559822,56.67184,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1100,0,234,366
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,6,122.689072,169.701843,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1200,0,283,306
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,7,119.417084,134.1423,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1000,0,233,236
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,8,119.295647,99.8337555,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,900,1,283,200
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,9,120.296883,106.189926,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,800,0,234,240
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,10,120.783737,58.49777,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1000,1,267,230
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,11,117.989426,104.91024,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1100,0,250,270
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,12,116.071442,66.09212,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,900,0,233,260
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,13,120.899467,115.723228,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1200,1,250,240
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,14,116.916527,67.9239349,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,800,0,233,280
