"","TIME:","2017-09-08T09:49:36-0700","",""
"","USER ID:","ADMIN-UCSF-bo008","",""
"","User Name:","bo008","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","19","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","49","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","0","-0.5235987901687622","1500","0","Hard","0","978.9159893989563","0","4",
"1","0","1.570796370506287","1500","0","Hard","0","443.7829852104187","0","4",
"0","1","-0.7853981852531433","1500","0","Hard","0.2617993950843811","1629.69696521759","0","4",
"1","1","-0.2617993950843811","1500","0","Hard","0.5235987901687622","965.474009513855","0","4",
"0","0","-0.2617993950843811","1500","0","Hard","0","747.0349669456482","0","4",
"1","0","1.570796370506287","1500","0","Hard","0","540.4490232467651","0","4",
"1","0","1.570796370506287","1500","0","Hard","0","409.7769856452942","0","4",
"0","1","1.308996915817261","1500","0","Hard","-1.047197580337524","295.0170040130615","0","4",
"1","1","1.308996915817261","1500","0","Hard","0.2617993950843811","531.3159823417664","0","4",
"0","0","1.047197580337524","1500","0","Hard","0","996.2460398674011","0","4",
"0","1","-0.2617993950843811","1500","0","Hard","1.047197580337524","541.0720109939575","0","4",
"0","1","-0.7853981852531433","1500","0","Medium","-1.047197580337524","1060.759007930756","0","4",


"R2B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","3.141592741012573","1500","2","Medium","0.7853981852531433","878.5000443458557","0","2",
"1","0","0.7853981852531433","1500","2","Medium","0","840.1249647140503","0","2",
"1","0","3.141592741012573","1500","2","Hard","0","810.2409839630127","0","2",
"0","1","-1.047197580337524","1500","2","Hard","3.141592741012573","1188.629031181335","0","2",
"1","1","-0.7853981852531433","1500","2","Hard","-0.2617993950843811","670.1710224151611","0","2",
"1","0","1.570796370506287","1500","2","Hard","0","1007.54702091217","0","2",
"1","0","-0.5235987901687622","1500","2","Hard","0","524.2159962654114","0","2",
"1","1","-1.047197580337524","1500","2","Hard","3.141592741012573","888.2359862327576","0","2",
"1","1","-1.047197580337524","1500","2","Hard","0.7853981852531433","808.9330196380615","0","2",
"0","0","3.141592741012573","1500","2","Hard","0","474.6249914169312","0","2",
"1","1","1.570796370506287","1500","2","Hard","1.308996915817261","720.1499938964844","0","2",
"0","0","-0.5235987901687622","1500","2","Hard","0","853.1209826469421","0","2",


"R2B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","3.141592741012573","1500","0","Easy","0.7853981852531433","886.7560029029846","0","2",
"0","0","-0.7853981852531433","1500","0","Easy","0","434.7169995307922","0","2",
"0","1","1.570796370506287","1500","0","Easy","0.7853981852531433","1001.254975795746","0","2",
"1","1","1.570796370506287","1500","0","Easy","0.7853981852531433","1237.280011177063","0","2",
"1","1","0.7853981852531433","1500","0","Easy","-0.7853981852531433","1363.319039344788","0","2",
"0","0","-0.5235987901687622","1500","0","Medium","0","872.8110194206238","0","2",
"1","1","-0.7853981852531433","1500","0","Medium","1.047197580337524","1246.512949466705","0","2",
"0","0","-1.047197580337524","1500","0","Medium","0","669.4040298461914","0","2",
"1","0","1.570796370506287","1500","0","Medium","0","568.3310031890869","0","2",
"1","0","3.141592741012573","1500","0","Medium","0","500.527024269104","0","2",
"0","1","-1.308996915817261","1500","0","Hard","-0.2617993950843811","1234.656989574432","0","2",
"1","0","3.141592741012573","1500","0","Hard","0","903.3040404319763","0","2",


"R4B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
